,value
6609,44
6610,259
6611,219
6612,197
6613,209
6614,2
6615,346
6616,0
6617,611
6618,0
6619,92
6620,300
6621,88
6622,289
6623,342
6624,252
6625,167
6626,209
6627,0
6628,62
6629,0
6630,70
6631,1022
6632,131
6633,168
6634,106
6635,193
6636,248
6637,333
6638,437
6639,752
6640,207
6641,506
6642,126
6643,151
6644,265
6645,457
6646,129
6647,333
6648,381
6649,3
6650,215
6651,33
6652,259
6653,0
6654,298
6655,237
6656,290
6657,557
6658,107
6659,0
6660,253
6661,0
6662,0
6663,3
6664,103
6665,436
6666,0
6667,492
6668,137
6669,135
6670,157
6671,18
6672,0
6673,0
6674,144
6675,0
6676,218
6677,289
6678,336
6679,419
6680,0
6681,0
6682,67
6683,348
6684,106
6685,303
6686,251
6687,81
6688,0
6689,85
6690,483
6691,265
6692,60
6693,428
6694,77
6695,223
6696,383
6697,45
6698,0
6699,729
6700,81
6701,379
6702,134
6703,8
6704,134
6705,324
6706,415
6707,178
6708,537
6709,90
6710,141
6711,317
6712,220
6713,454
6714,65
6715,0
6716,155
6717,61
6718,81
6719,288
6720,0
6721,143
6722,55
6723,82
6724,59
6725,11
6726,155
6727,0
6728,178
6729,249
6730,0
6731,70
6732,0
6733,132
6734,158
6735,317
6736,0
6737,59
6738,616
6739,0
6740,0
6741,186
6742,186
6743,0
6744,0
6745,203
6746,102
6747,163
6748,0
6749,0
6750,994
6751,0
6752,0
6753,173
6754,222
6755,96
6756,0
6757,0
6758,277
6759,0
6760,368
6761,69
6762,917
6763,0
6764,295
6765,0
6766,318
6767,644
6768,511
6769,0
6770,130
6771,384
6772,1307
6773,110
6774,32
6775,937
6776,0
6777,443
6778,126
6779,226
6780,192
6781,344
6782,201
6783,0
6784,478
6785,0
6786,276
6787,133
6788,215
6789,0
6790,313
6791,51
6792,176
6793,387
6794,128
6795,0
6796,200
6797,0
6798,3
6799,261
6800,271
6801,0
6802,440
6803,251
6804,264
6805,232
6806,145
6807,468
6808,122
6809,81
6810,704
6811,7
6812,0
6813,463
6814,0
6815,232
6816,289
6817,165
6818,0
6819,11
6820,252
6821,0
6822,452
6823,176
6824,40
6825,269
6826,0
6827,31
6828,354
6829,337
6830,0
6831,86
6832,168
6833,0
6834,313
6835,3
6836,645
6837,0
6838,0
6839,621
6840,0
6841,0
6842,0
6843,0
6844,0
6845,155
6846,267
6847,322
6848,591
6849,495
6850,368
6851,225
6852,914
6853,516
6854,22
6855,115
6856,283
6857,156
6858,121
6859,0
6860,120
6861,299
6862,250
6863,784
6864,0
6865,56
6866,73
6867,250
6868,352
6869,0
6870,46
6871,164
6872,354
6873,186
6874,77
6875,0
6876,93
6877,0
6878,183
6879,41
6880,186
6881,121
6882,89
6883,0
6884,53
6885,5
6886,209
6887,20
6888,119
6889,0
6890,118
6891,72
6892,0
6893,343
6894,0
6895,209
6896,230
6897,171
6898,120
6899,223
6900,288
6901,350
6902,0
6903,54
6904,1157
6905,426
6906,0
6907,10
6908,94
6909,30
6910,0
6911,415
6912,192
6913,0
6914,290
6915,0
6916,206
6917,324
6918,130
6919,144
6920,7
6921,196
6922,264
6923,392
6924,202
6925,0
6926,76
6927,131
6928,103
6929,221
6930,0
6931,258
6932,52
6933,31
6934,466
6935,237
6936,384
6937,260
6938,197
6939,187
6940,923
6941,403
6942,198
6943,86
6944,198
6945,99
6946,99
6947,274
6948,0
6949,189
6950,376
6951,0
6952,104
6953,548
6954,147
6955,50
6956,0
6957,0
6958,123
6959,99
6960,157
6961,153
6962,981
6963,452
6964,103
6965,519
6966,0
6967,200
6968,111
6969,171
6970,62
6971,245
6972,73
6973,385
6974,374
6975,3
6976,337
6977,21
6978,427
6979,0
6980,183
6981,0
6982,0
6983,112
6984,112
6985,44
6986,301
6987,0
6988,175
6989,89
6990,853
6991,86
6992,0
6993,0
6994,327
6995,186
6996,0
6997,115
6998,279
6999,434
7000,78
7001,161
7002,180
7003,5
7004,0
7005,59
7006,331
7007,89
7008,158
7009,0
7010,255
7011,110
7012,132
7013,392
7014,764
7015,188
7016,151
7017,261
7018,159
7019,49
7020,118
7021,153
7022,28
7023,256
7024,242
7025,0
7026,2
7027,87
7028,145
7029,151
7030,212
7031,0
7032,5
7033,32
7034,178
7035,0
7036,185
7037,234
7038,268
7039,448
7040,54
7041,0
7042,276
7043,201
7044,65
7045,22
7046,132
7047,0
7048,301
7049,218
7050,215
7051,61
7052,0
7053,554
7054,0
7055,0
7056,156
7057,0
7058,100
7059,173
7060,0
7061,202
7062,83
7063,67
7064,0
7065,78
7066,737
7067,46
7068,46
7069,254
7070,399
7071,140
7072,0
7073,31
7074,0
7075,0
7076,481
7077,218
7078,182
7079,32
7080,0
7081,0
7082,150
7083,192
7084,87
7085,0
7086,63
7087,119
7088,245
7089,0
7090,286
7091,291
7092,0
7093,710
7094,90
7095,355
7096,22
7097,16
7098,219
7099,0
7100,0
7101,203
7102,544
7103,92
7104,298
7105,0
7106,380
7107,125
7108,0
7109,157
7110,233
7111,0
7112,544
7113,0
7114,207
7115,382
7116,28
7117,0
7118,465
7119,0
7120,0
7121,0
7122,153
7123,176
7124,264
7125,0
7126,0
7127,473
7128,0
7129,210
7130,0
7131,284
7132,137
7133,147
7134,10
7135,0
7136,0
7137,78
7138,126
7139,177
7140,110
7141,88
7142,182
7143,41
7144,32
7145,159
7146,471
7147,731
7148,409
7149,37
7150,556
7151,1073
7152,205
7153,270
7154,771
7155,510
7156,446
7157,90
7158,83
7159,286
7160,4
7161,547
7162,204
7163,0
7164,23
7165,384
7166,66
7167,242
7168,15
7169,0
7170,56
7171,110
7172,644
7173,0
7174,0
7175,48
7176,386
7177,415
7178,190
7179,213
7180,121
7181,171
7182,294
7183,0
7184,0
7185,250
7186,291
7187,0
7188,119
7189,292
7190,0
7191,175
7192,60
7193,56
7194,348
7195,214
7196,292
7197,174
7198,256
7199,84
7200,106
7201,200
7202,103
7203,179
7204,167
7205,0
7206,52
7207,339
7208,123
7209,198
7210,2
7211,19
7212,0
7213,203
7214,117
7215,155
7216,5
7217,0
7218,78
7219,135
7220,608
7221,0
7222,0
7223,201
7224,892
7225,49
7226,0
7227,102
7228,252
7229,174
7230,192
7231,175
7232,211
7233,302
7234,252
7235,0
7236,321
7237,200
7238,53
7239,9
7240,46
7241,130
7242,430
7243,0
7244,746
7245,35
7246,0
7247,609
7248,197
7249,301
7250,316
7251,207
7252,234
7253,372
7254,105
7255,0
7256,226
7257,112
7258,223
7259,6
7260,101
7261,161
7262,229
7263,0
7264,121
7265,198
7266,0
7267,214
7268,58
7269,1110
7270,62
7271,0
7272,59
7273,120
7274,180
7275,98
7276,672
7277,21
7278,0
7279,341
7280,212
7281,17
7282,330
7283,234
7284,0
7285,127
7286,180
7287,263
7288,146
7289,170
7290,269
7291,192
7292,0
7293,0
7294,0
7295,0
7296,0
7297,227
7298,118
7299,150
7300,81
7301,373
7302,214
7303,146
7304,10
7305,0
7306,68
7307,300
7308,202
7309,224
7310,132
7311,191
7312,221
7313,0
7314,685
7315,918
7316,0
7317,0
7318,0
7319,121
7320,64
7321,216
7322,168
7323,364
7324,0
7325,14
7326,153
7327,67
7328,101
7329,589
7330,67
7331,0
7332,365
7333,59
7334,84
7335,0
7336,0
7337,171
7338,115
7339,786
7340,343
7341,480
7342,131
7343,403
7344,229
7345,66
7346,292
7347,228
7348,622
7349,216
7350,60
7351,0
7352,274
7353,217
7354,476
7355,486
7356,91
7357,34
7358,192
7359,563
7360,0
7361,110
7362,49
7363,482
7364,69
7365,0
7366,31
7367,160
7368,0
7369,507
7370,0
7371,246
7372,100
7373,220
7374,257
7375,0
7376,0
7377,107
7378,0
7379,0
7380,87
7381,113
7382,115
7383,349
7384,113
7385,131
7386,0
7387,118
7388,321
7389,0
7390,0
7391,210
7392,281
7393,83
7394,45
7395,56
7396,222
7397,158
7398,127
7399,317
7400,116
7401,147
7402,39
7403,179
7404,150
7405,74
7406,219
7407,484
7408,0
7409,343
7410,350
7411,607
7412,0
7413,800
7414,0
7415,589
7416,464
7417,224
7418,458
7419,3
7420,0
7421,70
7422,0
7423,318
7424,138
7425,50
7426,0
7427,206
7428,0
7429,201
7430,181
7431,102
7432,50
7433,266
7434,348
7435,249
7436,0
7437,818
7438,100
7439,41
7440,72
7441,46
7442,149
7443,0
7444,0
7445,0
7446,0
7447,504
7448,255
7449,76
7450,0
7451,119
7452,395
7453,273
7454,57
7455,75
7456,0
7457,167
7458,11
7459,133
7460,136
7461,364
7462,391
7463,87
7464,0
7465,0
7466,0
7467,8
7468,75
7469,136
7470,11
7471,369
7472,119
7473,0
7474,0
7475,180
7476,42
7477,0
7478,162
7479,0
7480,137
7481,51
7482,444
7483,0
7484,36
7485,29
7486,0
7487,0
7488,86
7489,0
7490,0
7491,108
7492,777
7493,96
7494,384
7495,285
7496,3
7497,238
7498,454
7499,57
7500,108
7501,147
7502,115
7503,487
7504,678
7505,5
7506,2788
7507,911
7508,125
7509,215
7510,66
7511,771
7512,134
7513,0
7514,277
7515,0
7516,185
7517,0
7518,100
7519,1563
7520,129
7521,277
7522,178
7523,0
7524,142
7525,87
7526,0
7527,0
7528,279
7529,156
7530,217
7531,11
7532,91
7533,0
7534,78
7535,347
7536,269
7537,220
7538,254
7539,2
7540,181
7541,0
7542,99
7543,222
7544,0
7545,0
7546,248
7547,330
7548,260
7549,0
7550,0
7551,0
7552,7
7553,28
7554,0
7555,1083
7556,13
7557,0
7558,403
7559,117
7560,0
7561,0
7562,98
7563,0
7564,709
7565,166
7566,615
7567,108
7568,0
7569,0
7570,174
7571,0
7572,602
7573,250
7574,384
7575,400
7576,448
7577,370
7578,0
7579,147
7580,323
7581,0
7582,103
7583,295
7584,66
7585,257
7586,171
7587,0
7588,111
7589,982
7590,0
7591,58
7592,787
7593,0
7594,50
7595,897
7596,309
7597,0
7598,223
7599,22
7600,0
7601,0
7602,248
7603,462
7604,40
7605,46
7606,1298
7607,552
7608,0
7609,14
7610,179
7611,12
7612,154
7613,67
7614,198
7615,0
7616,253
7617,0
7618,92
7619,0
7620,34
7621,289
7622,200
7623,60
7624,168
7625,324
7626,112
7627,93
7628,95
7629,249
7630,0
7631,0
7632,154
7633,168
7634,0
7635,295
7636,135
7637,153
7638,74
7639,98
7640,58
7641,223
7642,369
7643,0
7644,0
7645,0
7646,0
7647,461
7648,41
7649,284
7650,123
7651,388
7652,145
7653,272
7654,224
7655,89
7656,45
7657,222
7658,402
7659,292
7660,87
7661,376
7662,0
7663,183
7664,164
7665,78
7666,148
7667,0
7668,77
7669,63
7670,65
7671,136
7672,189
7673,160
7674,11
7675,409
7676,408
7677,22
7678,269
7679,883
7680,176
7681,73
7682,40
7683,57
7684,503
7685,0
7686,662
7687,545
7688,83
7689,0
7690,0
7691,315
7692,129
7693,231
7694,71
7695,0
7696,438
7697,202
7698,293
7699,161
7700,190
7701,168
7702,255
7703,199
7704,613
7705,0
7706,96
7707,0
7708,289
7709,507
7710,376
7711,98
7712,141
7713,545
7714,0
7715,0
7716,0
7717,53
7718,187
7719,185
7720,697
7721,131
7722,110
7723,213
7724,223
7725,291
7726,0
7727,151
7728,146
7729,153
7730,301
7731,154
7732,97
7733,346
7734,180
7735,340
7736,122
7737,137
7738,123
7739,136
7740,0
7741,240
7742,4
7743,362
7744,0
7745,115
7746,142
7747,176
7748,70
7749,277
7750,410
7751,126
7752,0
7753,63
7754,177
7755,0
7756,1241
7757,106
7758,0
7759,163
7760,1012
7761,254
7762,251
7763,0
7764,0
7765,0
7766,0
7767,322
7768,98
7769,0
7770,86
7771,314
7772,380
7773,312
7774,398
7775,0
7776,117
7777,6
7778,0
7779,133
7780,0
7781,345
7782,160
7783,295
7784,0
7785,122
7786,749
7787,549
7788,600
7789,79
7790,147
7791,292
7792,204
7793,99
7794,358
7795,0
7796,91
7797,0
7798,109
7799,274
7800,242
7801,21
7802,0
7803,436
7804,242
7805,116
7806,131
7807,190
7808,0
7809,177
7810,280
7811,430
7812,0
7813,209
7814,284
7815,241
7816,335
7817,94
7818,282
7819,217
7820,352
7821,54
7822,0
7823,0
7824,118
7825,492
7826,95
7827,189
7828,0
7829,0
7830,118
7831,89
7832,0
7833,381
7834,212
7835,366
7836,0
7837,152
7838,32
7839,10
7840,201
7841,197
7842,196
7843,171
7844,39
7845,2
7846,115
7847,278
7848,0
7849,9
7850,68
7851,77
7852,192
7853,328
7854,599
7855,12
7856,118
7857,215
7858,161
7859,234
7860,44
7861,402
7862,0
7863,0
7864,273
7865,155
7866,461
7867,186
7868,246
7869,302
7870,0
7871,198
7872,378
7873,169
7874,183
7875,298
7876,156
7877,300
7878,172
7879,88
7880,59
7881,111
7882,0
7883,146
7884,0
7885,65
7886,0
7887,215
7888,198
7889,325
7890,0
7891,0
7892,241
7893,833
7894,164
7895,144
7896,711
7897,93
7898,0
7899,233
7900,177
7901,40
7902,193
7903,368
7904,6
7905,28
7906,0
7907,480
7908,456
7909,0
7910,433
7911,0
7912,645
7913,259
7914,114
7915,210
7916,272
7917,65
7918,255
7919,78
7920,148
7921,73
7922,767
7923,207
7924,73
7925,0
7926,368
7927,0
7928,198
7929,0
7930,619
7931,30
7932,202
7933,0
7934,90
7935,61
7936,0
7937,68
7938,59
7939,0
7940,808
7941,124
7942,214
7943,839
7944,260
7945,133
7946,1345
7947,399
7948,188
7949,243
7950,0
7951,0
7952,50
7953,0
7954,140
7955,0
7956,89
7957,448
7958,0
7959,0
7960,349
7961,1109
7962,211
7963,0
7964,0
7965,101
7966,0
7967,281
7968,228
7969,25
7970,233
7971,0
7972,249
7973,264
7974,0
7975,154
7976,260
7977,145
7978,124
7979,704
7980,245
7981,147
7982,225
7983,0
7984,0
7985,245
7986,187
7987,73
7988,0
7989,631
7990,635
7991,0
7992,109
7993,108
7994,28
7995,117
7996,162
7997,0
7998,2
7999,234
8000,0
8001,113
8002,159
8003,146
8004,160
8005,85
8006,38
8007,9
8008,391
8009,240
8010,209
8011,287
8012,168
8013,292
8014,505
8015,493
8016,97
8017,0
8018,244
8019,0
8020,0
8021,13
8022,201
8023,268
8024,48
8025,367
8026,151
8027,123
8028,141
8029,0
8030,173
8031,168
8032,35
8033,357
8034,0
8035,383
8036,157
8037,0
8038,0
8039,0
8040,154
8041,0
8042,54
8043,31
8044,0
8045,427
8046,71
8047,151
8048,218
8049,122
8050,183
8051,310
8052,0
8053,34
8054,0
8055,41
8056,314
8057,284
8058,372
8059,143
8060,0
8061,124
8062,135
8063,188
8064,157
8065,85
8066,254
8067,196
8068,0
8069,0
8070,95
8071,339
8072,1369
8073,586
8074,6
8075,0
8076,280
8077,177
8078,666
8079,93
8080,563
8081,220
8082,163
8083,155
8084,59
8085,0
8086,399
8087,362
8088,135
8089,336
8090,0
8091,157
8092,239
8093,471
8094,0
8095,120
8096,109
8097,354
8098,0
8099,0
8100,11
8101,109
8102,42
8103,296
8104,97
8105,0
8106,395
8107,0
8108,0
8109,208
8110,411
8111,23
8112,144
8113,40
8114,182
8115,242
8116,0
8117,386
8118,92
8119,0
8120,90
8121,192
8122,117
8123,20
8124,113
8125,23
8126,0
8127,72
8128,566
8129,204
8130,249
8131,66
8132,0
8133,484
8134,747
8135,712
8136,60
8137,0
8138,77
8139,278
8140,106
8141,31
8142,82
8143,697
8144,262
8145,234
8146,184
8147,0
8148,238
8149,0
8150,10
8151,321
8152,0
8153,157
8154,0
8155,181
8156,538
8157,0
8158,296
8159,166
8160,24
8161,0
8162,197
8163,565
8164,270
8165,297
8166,0
8167,394
8168,349
8169,344
8170,163
8171,107
8172,0
8173,10
8174,77
8175,0
8176,106
8177,123
8178,0
8179,88
8180,782
8181,72
8182,32
8183,254
8184,0
8185,172
8186,14
8187,35
8188,489
8189,220
8190,63
8191,294
8192,151
8193,295
8194,8
8195,188
8196,145
8197,79
8198,0
8199,345
8200,569
8201,0
8202,165
8203,121
8204,63
8205,754
8206,134
8207,71
8208,348
8209,115
8210,0
8211,0
8212,405
8213,108
8214,310
8215,0
8216,3
8217,647
8218,225
8219,0
8220,206
8221,367
8222,217
8223,156
8224,201
8225,16
8226,68
8227,208
8228,132
8229,128
8230,39
8231,272
8232,127
8233,0
8234,48
8235,0
8236,36
8237,7
8238,18
8239,0
8240,165
8241,529
8242,6
8243,0
8244,0
8245,60
8246,247
8247,422
8248,0
8249,372
8250,120
8251,240
8252,130
8253,134
8254,220
8255,68
8256,203
8257,139
8258,479
8259,97
8260,131
8261,204
8262,733
8263,15
8264,0
8265,0
8266,285
8267,23
8268,0
8269,0
8270,0
8271,0
8272,183
8273,90
8274,156
8275,495
8276,52
8277,507
8278,180
8279,41
8280,13
8281,6
8282,0
8283,6
8284,217
8285,35
8286,555
8287,0
8288,0
8289,399
8290,208
8291,143
8292,194
8293,0
8294,0
8295,218
8296,0
8297,537
8298,207
8299,149
8300,0
8301,117
8302,340
8303,66
8304,145
8305,120
8306,110
8307,232
8308,150
8309,9
8310,0
8311,287
8312,113
8313,380
8314,82
8315,144
8316,20
8317,155
8318,85
8319,302
8320,313
8321,0
8322,10
8323,648
8324,226
8325,434
8326,0
8327,434
8328,140
8329,125
8330,319
8331,120
8332,38
8333,399
8334,183
8335,114
8336,181
8337,27
8338,54
8339,263
8340,226
8341,128
8342,0
8343,233
8344,10
8345,49
8346,331
8347,66
8348,0
8349,0
8350,167
8351,115
8352,0
8353,664
8354,648
8355,171
8356,395
8357,128
8358,124
8359,0
8360,192
8361,0
8362,145
8363,348
8364,153
8365,197
8366,470
8367,659
8368,181
8369,90
8370,33
8371,49
8372,83
8373,173
8374,0
8375,200
8376,382
8377,193
8378,0
8379,0
8380,353
8381,0
8382,0
8383,355
8384,297
8385,203
8386,0
8387,42
8388,689
8389,331
8390,112
8391,300
8392,0
8393,0
8394,778
8395,171
8396,0
8397,0
8398,0
8399,182
8400,625
8401,31
8402,61
8403,0
8404,0
8405,0
8406,12
8407,182
8408,0
8409,130
8410,277
8411,305
8412,110
8413,121
8414,335
8415,286
8416,0
8417,0
8418,413
8419,0
8420,145
8421,89
8422,0
8423,98
8424,0
8425,549
8426,0
8427,296
8428,0
8429,424
8430,590
8431,350
8432,233
8433,116
8434,152
8435,364
8436,70
8437,785
8438,0
8439,330
8440,157
8441,116
8442,578
8443,0
8444,0
8445,0
8446,248
8447,250
8448,475
8449,196
8450,390
8451,0
8452,399
8453,163
8454,0
8455,54
8456,203
8457,331
8458,317
8459,0
8460,331
8461,424
8462,268
8463,104
8464,166
8465,222
8466,55
8467,64
8468,120
8469,606
8470,42
8471,116
8472,0
8473,220
8474,0
8475,173
8476,147
8477,337
8478,98
8479,49
8480,762
8481,52
8482,33
8483,100
8484,344
8485,199
8486,0
8487,109
8488,0
8489,326
8490,225
8491,373
8492,948
8493,66
8494,417
8495,0
8496,207
8497,161
8498,9
8499,168
8500,0
8501,110
8502,485
8503,188
8504,148
8505,209
8506,0
8507,74
8508,40
8509,25
8510,368
8511,274
8512,206
8513,20
8514,0
8515,0
8516,713
8517,305
8518,222
8519,100
8520,3
8521,0
8522,232
8523,545
8524,80
8525,0
8526,0
8527,195
8528,56
8529,223
8530,0
8531,76
8532,109
8533,28
8534,819
8535,9
8536,355
8537,305
8538,0
8539,19
8540,0
8541,0
8542,81
8543,282
8544,217
8545,75
8546,21
8547,0
8548,0
8549,117
8550,0
8551,62
8552,38
8553,41
8554,214
8555,765
8556,170
8557,0
8558,0
8559,57
8560,147
8561,347
8562,126
8563,150
8564,0
8565,164
8566,0
8567,0
8568,166
8569,0
8570,262
8571,291
8572,1315
8573,126
8574,234
8575,206
8576,160
8577,0
8578,334
8579,0
8580,0
8581,0
8582,174
8583,228
8584,3
8585,225
8586,130
8587,0
8588,403
8589,127
8590,458
8591,153
8592,169
8593,121
8594,157
8595,184
8596,0
8597,280
8598,0
8599,31
8600,0
8601,234
8602,167
8603,306
8604,92
8605,216
8606,92
8607,699
8608,0
8609,73
8610,169
8611,316
8612,1072
8613,196
8614,186
8615,137
8616,36
8617,266
8618,65
8619,209
8620,310
8621,3
8622,397
8623,0
8624,83
8625,230
8626,381
8627,0
8628,0
8629,521
8630,121
8631,1096
8632,0
8633,0
8634,262
8635,339
8636,163
8637,835
8638,154
8639,574
8640,137
8641,149
8642,0
8643,0
8644,309
8645,150
8646,113
8647,0
8648,205
8649,146
8650,21
8651,134
8652,361
8653,66
8654,362
8655,114
8656,462
8657,437
8658,270
8659,193
8660,235
8661,199
8662,337
8663,140
8664,194
8665,101
8666,15
8667,99
8668,142
8669,70
8670,143
8671,92
8672,0
8673,125
8674,79
8675,0
8676,97
8677,141
8678,0
8679,419
8680,0
8681,71
8682,0
8683,118
8684,404
8685,173
8686,0
8687,33
8688,281
8689,0
8690,129
8691,0
8692,368
8693,152
8694,246
8695,118
8696,123
8697,0
8698,699
8699,0
8700,166
8701,0
8702,0
8703,1338
8704,0
8705,338
8706,75
8707,36
8708,373
8709,354
8710,95
8711,233
8712,144
8713,265
8714,0
8715,257
8716,403
8717,57
8718,0
8719,131
8720,0
8721,355
8722,141
8723,359
8724,730
8725,1015
8726,66
8727,0
8728,0
8729,507
8730,0
8731,369
8732,148
8733,88
8734,732
8735,124
8736,223
8737,137
8738,0
8739,84
8740,0
8741,0
8742,0
8743,0
8744,0
8745,169
8746,0
8747,772
8748,0
8749,213
8750,143
8751,424
8752,115
8753,134
8754,0
8755,662
8756,197
8757,103
8758,60
8759,235
8760,46
8761,0
8762,0
8763,102
8764,145
8765,0
8766,0
8767,229
8768,42
8769,116
8770,0
8771,275
8772,326
8773,486
8774,81
8775,166
8776,614
8777,131
8778,52
8779,460
8780,3
8781,0
8782,0
8783,303
8784,148
8785,148
8786,120
8787,698
8788,128
8789,32
8790,90
8791,5
8792,3
8793,0
8794,269
8795,0
8796,254
8797,253
8798,759
8799,0
8800,902
8801,159
8802,20
8803,88
8804,145
8805,40
8806,59
8807,147
8808,167
8809,120
8810,139
8811,404
8812,0
8813,328
8814,576
8815,0
8816,0
8817,22
8818,0
8819,218
8820,215
8821,25
8822,0
8823,164
8824,315
8825,490
8826,0
8827,540
8828,108
8829,2
8830,147
8831,246
8832,0
8833,56
8834,0
8835,106
8836,25
8837,0
8838,339
8839,183
8840,68
8841,0
8842,421
8843,89
8844,0
8845,13
8846,7
8847,167
8848,162
8849,105
8850,324
8851,0
8852,0
8853,0
8854,891
8855,79
8856,0
8857,92
8858,380
8859,225
8860,323
8861,298
8862,68
8863,261
8864,293
8865,357
8866,75
8867,345
8868,447
8869,220
8870,352
8871,76
8872,2
8873,378
8874,289
8875,0
8876,0
8877,152
8878,252
8879,78
8880,29
8881,0
8882,138
8883,255
8884,48
8885,417
8886,448
8887,102
8888,30
8889,892
8890,148
8891,81
8892,130
8893,243
8894,365
8895,0
8896,216
8897,177
8898,35
8899,363
8900,0
8901,209
8902,1013
8903,225
8904,210
8905,145
8906,113
8907,271
8908,21
8909,108
8910,0
8911,669
8912,413
8913,216
8914,99
8915,0
8916,344
8917,809
8918,371
8919,166
8920,32
8921,338
8922,0
8923,0
8924,550
8925,0
8926,256
8927,92
8928,228
8929,0
8930,0
8931,113
8932,921
8933,470
8934,0
8935,386
8936,4
8937,377
8938,0
8939,648
8940,0
8941,240
8942,76
8943,259
8944,138
8945,370
8946,9
8947,136
8948,157
8949,0
8950,161
8951,0
8952,1615
8953,430
8954,475
8955,88
8956,303
8957,222
8958,8
8959,0
8960,0
8961,171
8962,325
8963,102
8964,232
8965,334
8966,371
8967,24
8968,450
8969,254
8970,0
8971,0
8972,91
8973,181
8974,189
8975,0
8976,0
8977,0
8978,0
8979,0
8980,138
8981,0
8982,727
8983,681
8984,448
8985,122
8986,3
8987,0
8988,0
8989,168
8990,422
8991,382
8992,187
8993,243
8994,650
8995,126
8996,144
8997,0
8998,0
8999,137
9000,0
9001,68
9002,83
9003,0
9004,76
9005,40
9006,235
9007,138
9008,79
9009,248
9010,394
9011,54
9012,0
9013,0
9014,252
9015,342
9016,7
9017,12
9018,467
9019,0
9020,436
9021,225
9022,320
9023,79
9024,806
9025,277
9026,458
9027,107
9028,0
9029,81
9030,232
9031,614
9032,0
9033,34
9034,232
9035,365
9036,134
9037,69
9038,0
9039,531
9040,84
9041,129
9042,78
9043,137
9044,117
9045,10
9046,52
9047,16
9048,0
9049,3
9050,0
9051,960
9052,0
9053,200
9054,0
9055,109
9056,3
9057,561
9058,454
9059,444
9060,50
9061,72
9062,28
9063,51
9064,51
9065,61
9066,92
9067,41
9068,185
9069,75
9070,89
9071,265
9072,112
9073,99
9074,49
9075,75
9076,37
9077,88
9078,0
9079,0
9080,0
9081,0
9082,157
9083,251
9084,265
9085,0
9086,0
9087,159
9088,0
9089,0
9090,669
9091,0
9092,279
9093,121
9094,67
9095,162
9096,73
9097,187
9098,247
9099,84
9100,25
9101,61
9102,159
9103,507
9104,180
9105,0
9106,0
9107,0
9108,154
9109,1319
9110,126
9111,0
9112,11
9113,0
9114,0
9115,4
9116,0
9117,0
9118,0
9119,0
9120,0
9121,236
9122,328
9123,193
9124,0
9125,474
9126,0
9127,417
9128,1254
9129,0
9130,244
9131,777
9132,447
9133,837
9134,330
9135,0
9136,625
9137,327
9138,711
9139,0
9140,140
9141,0
9142,496
9143,218
9144,24
9145,0
9146,0
9147,399
9148,616
9149,85
9150,0
9151,608
9152,686
9153,173
9154,222
9155,229
9156,209
9157,23
9158,488
9159,24
9160,0
9161,0
9162,0
9163,0
9164,86
9165,0
9166,0
9167,322
9168,315
9169,159
9170,373
9171,132
9172,0
9173,24
9174,19
9175,351
9176,0
9177,0
9178,4
9179,41
9180,269
9181,239
9182,515
9183,378
9184,118
9185,192
9186,14
9187,660
9188,484
9189,3
9190,412
9191,146
9192,0
9193,0
9194,179
9195,32
9196,579
9197,0
9198,1168
9199,441
9200,258
9201,309
9202,271
9203,143
9204,0
9205,533
9206,134
9207,142
9208,342
9209,831
9210,172
9211,119
9212,281
9213,442
9214,590
9215,55
9216,126
9217,139
9218,436
9219,73
9220,360
9221,274
9222,142
9223,132
9224,89
9225,0
9226,242
9227,130
9228,329
9229,250
9230,168
9231,129
9232,98
9233,108
9234,117
9235,106
9236,146
9237,470
9238,436
9239,377
9240,264
9241,412
9242,330
9243,142
9244,266
9245,325
9246,465
9247,152
9248,536
9249,246
9250,409
9251,329
9252,351
9253,570
9254,637
9255,243
9256,674
9257,461
9258,210
9259,372
9260,78
9261,446
9262,211
9263,353
9264,0
9265,0
9266,536
9267,666
9268,488
9269,377
9270,465
9271,969
9272,667
9273,0
9274,156
9275,523
9276,7
9277,129
9278,0
9279,0
9280,0
9281,0
9282,0
9283,0
9284,0
9285,0
9286,0
9287,0
9288,0
9289,0
9290,0
9291,0
9292,0
9293,0
9294,0
9295,150
9296,4
9297,0
9298,862
9299,280
9300,0
9301,8
9302,24
9303,0
9304,0
9305,0
9306,0
9307,0
9308,0
9309,0
9310,0
9311,0
9312,0
9313,0
9314,0
9315,0
9316,0
9317,0
9318,0
9319,0
9320,0
9321,0
9322,0
9323,0
9324,0
9325,4
9326,0
9327,0
9328,0
9329,4
9330,0
9331,4
9332,0
9333,0
9334,8
9335,16
9336,0
9337,0
9338,16
9339,0
9340,0
9341,0
9342,0
9343,0
9344,0
9345,0
9346,0
9347,0
9348,0
9349,0
9350,4
9351,0
9352,0
9353,0
9354,0
9355,0
9356,0
9357,0
9358,0
9359,0
9360,0
9361,0
9362,8
9363,0
9364,0
9365,0
9366,0
9367,0
9368,8
9369,0
9370,0
9371,0
9372,0
9373,0
9374,0
9375,0
9376,0
9377,0
9378,0
9379,0
9380,0
9381,0
9382,0
9383,0
9384,0
9385,0
9386,0
9387,0
9388,0
9389,0
9390,0
9391,0
9392,0
9393,0
9394,0
9395,0
9396,0
9397,0
9398,0
9399,0
9400,0
9401,0
9402,0
